"Name","Start","End","Duration","Process"
"python读取excel文件数据并制作饼状图 - 卡卡刘 - 博客园 和另外 1 个页面 - 个人 - Microsoft​ Edge","2022-12-20T23:20:41.0000000","2022-12-20T23:21:20.0000000","0:00:39","Microsoft Edge"
"Windows 资源管理器","2022-12-20T23:21:20.0000000","2022-12-20T23:21:38.0000000","0:00:18","Windows 资源管理器"
"a.py - C:\Users\zrc48\Desktop\a.py (3.10.0)","2022-12-20T23:21:38.0000000","2022-12-20T23:21:43.0000000","0:00:05","Python"
"python根据表格数据绘制饼图 - 搜索 - 个人 - Microsoft​ Edge","2022-12-20T23:21:43.0000000","2022-12-20T23:21:57.0000000","0:00:14","Microsoft Edge"
"新建标签页 和另外 1 个页面 - 个人 - Microsoft​ Edge","2022-12-20T23:21:57.0000000","2022-12-20T23:22:03.0000000","0:00:06","Microsoft Edge"
"中华人民共和国, 福建省, 连江县, 350500 天气预报 | Microsoft 天气 和另外 1 个页面 - 个人 - Microsoft​ Edge","2022-12-20T23:22:03.0000000","2022-12-20T23:22:15.0000000","0:00:12","Microsoft Edge"
"表格转饼状图 - 搜索 和另外 1 个页面 - 个人 - Microsoft​ Edge","2022-12-20T23:22:15.0000000","2022-12-20T23:22:21.0000000","0:00:06","Microsoft Edge"
"表格转饼状图在线 - 搜索 和另外 3 个页面 - 个人 - Microsoft​ Edge","2022-12-20T23:22:21.0000000","2022-12-20T23:22:26.0000000","0:00:05","Microsoft Edge"
"饼图在线生成器-在线生成饼状图-迅捷画图 和另外 3 个页面 - 个人 - Microsoft​ Edge","2022-12-20T23:22:26.0000000","2022-12-20T23:22:32.0000000","0:00:06","Microsoft Edge"
"ManicTimeData_2022-12-20.csv - Excel","2022-12-20T23:22:32.0000000","2022-12-20T23:22:39.0000000","0:00:07","Microsoft Excel"
"饼图在线生成器-在线生成饼状图-迅捷画图 和另外 3 个页面 - 个人 - Microsoft​ Edge","2022-12-20T23:22:39.0000000","2022-12-20T23:23:53.0000000","0:01:14","Microsoft Edge"
"ManicTimeData_2022-12-20.csv - Excel","2022-12-20T23:23:53.0000000","2022-12-20T23:23:59.0000000","0:00:06","Microsoft Excel"
